repository,commit id,dismiss,requirement,Manual steps,Start Time,End Time,import Time,Project Type,Project import result,Project Status,Language Server Status,IntelliJ result,Tester sign-off,Tags,nonSource,Project error,polyglot: Java & Kotlin,polyglot: Scala & Java,polyglot: Groovy & Java,unsupported build tool: Bazel,unsupported build tool: Ant,unsupported build tool: Make,IntelliJ configuration,non-standard project structure,unsupported project: unsupported android,timeout,Error disappear after opening file,type mismatch,cannot infer type arguments,type is not accessible,Code Generation,Annotation processing,Protobuf,indirectly referenced from .class files,The method is not applicable for the arguments,custom Gradle configuration,Access restriction,Project can not be built due to prerequisite,exception type must be a subclass of Throwable,The type must implement the inherit method,package cannot be resolved to a module,Gradle 7,cannot cast from template type,decalred package mismatch,local variables analyze,nest folder,the type is incompatible with return type,original dismiss,github current repository,github archived,github pushed at,github default branch commit at,github status,github invalid reason,selected valid 100,selection exclusion reason,github freshness cutoff,t1 selection policy
https://github.com/apereo/cas.git,,,java17,,17:36:51,17:44:16,0:07:25,Gradle,finished,error,error,error,QianZhang,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,https://github.com/apereo/cas.git,False,2026-08-18,2026-08-18,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/jhy/jsoup.git,,,,,,,0:00:00,Maven,finished,success,success,,QianZhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/jhy/jsoup.git,False,2026-08-16,2026-08-16,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/dromara/Sa-Token.git,,,,,,,0:00:00,Maven,finished,success,success,,QianZhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/dromara/Sa-Token.git,False,2026-08-18,2026-08-18,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/OpenRefine/OpenRefine.git,,,,,9:57:42,10:05:02,0:07:20,Maven,finished,success,success,,QianZhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/OpenRefine/OpenRefine.git,False,2026-08-16,2026-08-16,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/mapeditor/tiled.git,,,,,,,0:00:00,maven(subfolder),finished,success,success,,QianZhang,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,https://github.com/mapeditor/tiled.git,False,2026-08-04,2026-07-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/questdb/questdb.git,,,,,,,0:00:00,Maven,finished,success,success,,QianZhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/questdb/questdb.git,False,2026-08-18,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/macrozheng/mall-swarm.git,,,,,,,0:00:00,Maven,finished,success,success,,QianZhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/macrozheng/mall-swarm.git,False,2026-07-31,2026-05-21,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/Activiti/Activiti.git,922bdbb,,,,10:08:49,10:21:01,0:12:12,Maven,finished,success,success,,QianZhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/Activiti/Activiti.git,False,2026-08-18,2026-08-12,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/jwtk/jjwt.git,,yes,,,,,,Maven,,,,,QianZhang,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/jwtk/jjwt.git,False,2026-07-24,2026-06-19,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/dropwizard/dropwizard.git,,,,,,,0:00:00,Maven,finished,success,success,,QianZhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/dropwizard/dropwizard.git,False,2026-08-18,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/Grasscutters/Grasscutter.git,,,,,,,,Gradle,timeout,timeout,,,QianZhang,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,https://github.com/Grasscutters/Grasscutter.git,False,2026-03-04,2025-04-27,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/OpenFeign/feign.git,,,,,9:38:40,9:47:25,0:08:45,Maven,finished,error,error,error,QianZhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/OpenFeign/feign.git,False,2026-08-18,2026-08-18,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/hs-web/hsweb-framework.git,,,,,,,0:00:00,Maven,finished,success,success,,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/hs-web/hsweb-framework.git,False,2026-08-12,2026-08-12,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation.git,,,,,,,0:00:00,unmanaged folder,finished,success,success,,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation.git,False,2026-08-15,2026-06-27,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/dropwizard/metrics.git,,,,,,,0:00:00,Maven,finished,success,success,,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/dropwizard/metrics.git,False,2026-08-17,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/cryptomator/cryptomator.git,c41ffe2,,,,9:48:48,9:53:07,0:04:19,Maven,finished,error,success,success,leizheng,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,https://github.com/cryptomator/cryptomator.git,False,2026-08-01,2026-07-30,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/cymcsg/UltimateRecyclerView.git,,,,,,,0:00:00,Gradle(subfolder),finished,success,success,,Qian Zhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/cymcsg/UltimateRecyclerView.git,False,2026-02-27,2026-02-27,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/checkstyle/checkstyle.git,,yes,,,,,,Maven,,,,,Qian Zhang,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/checkstyle/checkstyle.git,False,2026-08-18,2026-08-18,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/swagger-api/swagger-core.git,,yes,,,,,,Maven,,,,,Qian Zhang,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/swagger-api/swagger-core.git,False,2026-08-17,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/spring-projects/spring-security.git,36f668d,yes,,,,,0:00:00,Gradle,,,,,Qian Zhang,2,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/spring-projects/spring-security.git,False,2026-08-18,2026-08-18,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/semgrep/semgrep.git,,,,,,,0:00:00,unmanaged folder,finished,success,success,,Qian Zhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/semgrep/semgrep.git,False,2026-08-18,2026-08-14,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/flyway/flyway.git,,,,,,,0:00:00,Maven,finished,success,success,,Qian Zhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/flyway/flyway.git,False,2026-08-13,2026-08-13,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/sohutv/cachecloud.git,,,,,,,0:00:00,Maven,,error,,success,Qian Zhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/sohutv/cachecloud.git,False,2026-06-08,2026-06-08,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/apache/storm.git,,,,,10:17:20,10:33:10,0:15:50,Maven(subfolder),finished,error,success,error,Qian Zhang,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,https://github.com/apache/storm.git,False,2026-08-11,2026-08-11,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/supertokens/supertokens-core.git,,yes,,,,,,Gradle,,,,,Qian Zhang,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/supertokens/supertokens-core.git,False,2026-08-17,2026-08-13,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/apache/jmeter.git,,,,,11:10:41,11:20:52,0:10:11,Gradle,finished,error,success,success,Qian Zhang,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,https://github.com/apache/jmeter.git,False,2026-08-14,2026-08-14,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/aeron-io/aeron.git,,,,./gradlew,13:49:49,13:54:56,0:05:07,Gradle,finished,error,success,success,Qian Zhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/aeron-io/aeron.git,False,2026-08-18,2026-08-18,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/nisrulz/flutter-examples.git,,yes,,,,,0:00:00,Gradle(subfolder),,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/nisrulz/flutter-examples.git,False,2026-08-17,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/testcontainers/testcontainers-java.git,,,,,,,0:00:00,Gradle,timeout,timeout,,success,Qian Zhang,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,https://github.com/testcontainers/testcontainers-java.git,False,2026-08-15,2026-08-15,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/PaperMC/Paper.git,,,,,14:06:10,14:09:59,0:03:49,Gradle,finished,error,error,success,Qian Zhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/PaperMC/Paper.git,False,2026-08-16,2026-08-11,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/google/error-prone.git,,,,mvn package,14:11:11,14:17:00,0:05:49,Maven,finished,error,success,success,Qian Zhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/google/error-prone.git,False,2026-08-18,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/bytedeco/javacv.git,,,,,,,0:00:00,Maven,finished,success,success,,Qian Zhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/bytedeco/javacv.git,False,2026-08-12,2026-08-12,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/yuliskov/SmartTube.git,,,java17,,14:39:34,14:41:39,0:02:05,Gradle,finished,error,error,error,Qian Zhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/yuliskov/SmartTube.git,False,2026-08-17,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/rest-assured/rest-assured.git,,yes,,,,,,Maven,,,,,Qian Zhang,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/rest-assured/rest-assured.git,False,2026-07-22,2026-07-22,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/h2oai/h2o-3.git,,,,,14:56:58,15:16:34,0:19:36,Gradle,finished,error,success,success,Qian Zhang,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,https://github.com/h2oai/h2o-3.git,False,2026-08-17,2026-08-13,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/joelittlejohn/jsonschema2pojo.git,,,,,,,0:00:00,Maven,finished,success,success,,Qian Zhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/joelittlejohn/jsonschema2pojo.git,False,2026-05-02,2026-02-13,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/apache/zeppelin.git,,,,,15:18:49,16:00:00,0:41:11,Maven,timeout,timeout,,success,Qian Zhang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/apache/zeppelin.git,False,2026-08-16,2026-08-16,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/apache/beam.git,,,,,,,0:00:00,Maven/Gradle,finished,success,success,,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/apache/beam.git,False,2026-08-18,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/javalin/javalin.git,,yes,,,,,,Maven,,,,,leizheng,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/javalin/javalin.git,False,2026-08-15,2026-08-14,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/curlconverter/curlconverter.git,,yes,,,,,,unmanaged folder,,,,,leizheng,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/curlconverter/curlconverter.git,False,2026-03-10,2026-03-10,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/graphql-java/graphql-java.git,,yes,,,,,,Gradle,,,,,leizheng,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/graphql-java/graphql-java.git,False,2026-08-14,2026-08-14,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/trinodb/trino.git,,yes,,,,,,Maven,,,,,leizheng,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/trinodb/trino.git,False,2026-08-18,2026-08-18,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/MinecraftForge/MinecraftForge.git,bc0517a,,,gradlew setup & gradlew genEclipseRuns,17:32:16,17:37:52,0:05:36,Gradle,finished,success,success,,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/MinecraftForge/MinecraftForge.git,False,2026-08-15,2026-08-11,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/awsdocs/aws-doc-sdk-examples.git,,yes,,,,,,unmanaged folder,,,,,leizheng,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/awsdocs/aws-doc-sdk-examples.git,False,2026-08-17,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/EsotericSoftware/kryo.git,,,,,10:42:11,10:43:08,0:00:57,Maven,finished,error,success,success,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/EsotericSoftware/kryo.git,False,2026-08-17,2026-08-10,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/micronaut-projects/micronaut-core.git,,yes,,,,,,Gradle,,,,,leizheng,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/micronaut-projects/micronaut-core.git,False,2026-08-18,2026-08-18,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/alibaba/transmittable-thread-local.git,,,,,,,0:00:00,Maven,finished,success,success,,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/alibaba/transmittable-thread-local.git,False,2026-06-18,2026-04-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/mapstruct/mapstruct.git,,,,,10:58:20,11:01:13,0:02:53,Maven,finished,error,success,error,leizheng,4,,,,,,,,,,,,,,,,,1,1,,,1,,,,,1,,,,,,,,,https://github.com/mapstruct/mapstruct.git,False,2026-08-07,2026-07-25,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/scribejava/scribejava.git,,,,,,,0:00:00,Maven,finished,success,success,,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/scribejava/scribejava.git,False,2026-05-18,2024-02-23,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/junit-team/junit-framework.git,,yes,java17,,,,,Gradle,,,,,leizheng,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/junit-team/junit-framework.git,False,2026-08-18,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/opensearch-project/OpenSearch.git,,yes,,,,,,Gradle,,,,,leizheng,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/opensearch-project/OpenSearch.git,False,2026-08-18,2026-08-18,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/btraceio/btrace.git,,,,"set JAVA_11_HOME, JAVA_8_HOME and JAVA_17_HOME environment variable",11:19:28,11:22:08,0:02:40,Gradle,finished,success,success,,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/btraceio/btrace.git,False,2026-08-17,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
